Time,deleted rows per sec - 11.1.2.20(master)
2025/5/27 08:39,0.05
2025/5/27 08:39,0.0454
2025/5/27 08:39,0.0454
2025/5/27 08:39,0.0333
2025/5/27 08:40,0.0186
2025/5/27 08:40,0.0371
2025/5/27 08:40,0.0333
2025/5/27 08:40,0.0333
2025/5/27 08:41,0.0303
2025/5/27 08:41,0.0151
2025/5/27 08:41,0
2025/5/27 08:41,0
2025/5/27 08:42,0.0333
2025/5/27 08:42,0.0333
2025/5/27 08:42,0.0303
2025/5/27 08:42,0.0303
2025/5/27 08:43,0.0167
2025/5/27 08:43,0.0186
2025/5/27 08:43,0.0186
2025/5/27 08:43,0.0167
2025/5/27 08:44,0.0167
2025/5/27 08:44,0.0151
2025/5/27 08:44,0.0151
2025/5/27 08:44,0.0186
2025/5/27 08:45,0
2025/5/27 08:45,0.0333
2025/5/27 08:45,0.0333
2025/5/27 08:45,0.0303
2025/5/27 08:46,0.0303
2025/5/27 08:46,0.0167
2025/5/27 08:46,0.0371
2025/5/27 08:46,0.0557
2025/5/27 08:47,0.0667
2025/5/27 08:47,0.05
2025/5/27 08:47,0.0303
2025/5/27 08:47,0.0151
2025/5/27 08:48,0
2025/5/27 08:48,0.0186
2025/5/27 08:48,0.0167
2025/5/27 08:48,0.0167
2025/5/27 08:49,0.0454
2025/5/27 08:49,0.0454
2025/5/27 08:49,0.05
2025/5/27 08:49,0.0557
2025/5/27 08:50,0.0186
2025/5/27 08:50,0
2025/5/27 08:50,0.0167
2025/5/27 08:50,0.0303
2025/5/27 08:51,0.0303
2025/5/27 08:51,0.0371
2025/5/27 08:51,0.0371
2025/5/27 08:51,0.0167
2025/5/27 08:52,0.0167
2025/5/27 08:52,0.0151
2025/5/27 08:52,0.0151
2025/5/27 08:52,0.0167
2025/5/27 08:53,0.0186
2025/5/27 08:53,0.0371
2025/5/27 08:53,0.0167
2025/5/27 08:53,0.0167
2025/5/27 08:54,0.0303
2025/5/27 08:54,0.0454
2025/5/27 08:54,0.0557
2025/5/27 08:54,0.0742
2025/5/27 08:55,0.05
2025/5/27 08:55,0.0333
2025/5/27 08:55,0.0303
2025/5/27 08:55,0.0151
2025/5/27 08:56,0.0167
2025/5/27 08:56,0
2025/5/27 08:56,0
2025/5/27 08:56,0
2025/5/27 08:57,0.0167
2025/5/27 08:57,0.0151
2025/5/27 08:57,0.0303
2025/5/27 08:57,0.0371
2025/5/27 08:58,0.0186
2025/5/27 08:58,0.0333
2025/5/27 08:58,0.0167
2025/5/27 08:58,0.0151
2025/5/27 08:59,0.0303
2025/5/27 08:59,0.0167
2025/5/27 08:59,0.0186
2025/5/27 08:59,0.0186
2025/5/27 09:00,0
2025/5/27 09:00,0
2025/5/27 09:00,0.0303
2025/5/27 09:00,0.0303
2025/5/27 09:01,0.0371
2025/5/27 09:01,0.0371
2025/5/27 09:01,0.0167
2025/5/27 09:01,0.0333
2025/5/27 09:02,0.0303
2025/5/27 09:02,0.0605
2025/5/27 09:02,0.05
2025/5/27 09:02,0.0371
2025/5/27 09:03,0.0371
2025/5/27 09:03,0.0167
2025/5/27 09:03,0.0167
2025/5/27 09:03,0.0151
2025/5/27 09:04,0.0605
2025/5/27 09:04,0.0557
2025/5/27 09:04,0.0742
2025/5/27 09:04,0.0667
2025/5/27 09:05,0.0333
2025/5/27 09:05,0.0303
2025/5/27 09:05,0.0303
2025/5/27 09:05,0.05
2025/5/27 09:06,0.0371
2025/5/27 09:06,0.0371
2025/5/27 09:06,0.0333
2025/5/27 09:06,0.0167
2025/5/27 09:07,0.0151
2025/5/27 09:07,0.0151
2025/5/27 09:07,0
2025/5/27 09:07,0
2025/5/27 09:08,0.0167
2025/5/27 09:08,0.0167
2025/5/27 09:08,0.0151
2025/5/27 09:08,0.0151
2025/5/27 09:09,0.0167
2025/5/27 09:09,0.0186
2025/5/27 09:09,0.0557
2025/5/27 09:09,0.05
2025/5/27 09:10,0.0333
2025/5/27 09:10,0.0303
2025/5/27 09:10,0
2025/5/27 09:10,0
2025/5/27 09:11,0
2025/5/27 09:11,0.05
2025/5/27 09:11,0.05
2025/5/27 09:11,0.0454
2025/5/27 09:12,0.0605
2025/5/27 09:12,0.0167
2025/5/27 09:12,0.0186
2025/5/27 09:12,0.0186
2025/5/27 09:13,0.0167
2025/5/27 09:13,0.0333
2025/5/27 09:13,0.0303
2025/5/27 09:13,0.0454
2025/5/27 09:14,0.0371
2025/5/27 09:14,0.0371
2025/5/27 09:14,0.05
2025/5/27 09:14,0.0333
2025/5/27 09:15,0.0303
2025/5/27 09:15,0.0303
2025/5/27 09:15,0.0167
2025/5/27 09:15,0.0371
2025/5/27 09:16,0.0371
2025/5/27 09:16,0.0167
2025/5/27 09:16,0.0167
2025/5/27 09:16,0.0303
2025/5/27 09:17,0.0303
2025/5/27 09:17,0.0371
2025/5/27 09:17,0.0557
2025/5/27 09:17,0.0167
2025/5/27 09:18,0.0167
2025/5/27 09:18,0.0303
2025/5/27 09:18,0.0151
2025/5/27 09:18,0.0167
2025/5/27 09:19,0.0186
2025/5/27 09:19,0.0371
2025/5/27 09:19,0.05
2025/5/27 09:19,0.05
2025/5/27 09:20,0.0454
2025/5/27 09:20,0.0454
2025/5/27 09:20,0.0557
2025/5/27 09:20,0.0742
2025/5/27 09:21,0.0833
2025/5/27 09:21,0.05
2025/5/27 09:21,0.0303
2025/5/27 09:21,0.0303
2025/5/27 09:22,0.0167
2025/5/27 09:22,0.0186
2025/5/27 09:22,0.0186
2025/5/27 09:22,0
2025/5/27 09:23,0.0167
2025/5/27 09:23,0.0151
2025/5/27 09:23,0.0151
2025/5/27 09:23,0.0186
2025/5/27 09:24,0.0186
2025/5/27 09:24,0.0167
2025/5/27 09:24,0.05
2025/5/27 09:24,0.0454
2025/5/27 09:25,0.0303
2025/5/27 09:25,0.05
2025/5/27 09:25,0.0186
2025/5/27 09:25,0.0186
2025/5/27 09:26,0.0167
2025/5/27 09:26,0.0167
2025/5/27 09:26,0.0151
2025/5/27 09:26,0.0303
2025/5/27 09:27,0.0557
2025/5/27 09:27,0.0371
2025/5/27 09:27,0.0333
2025/5/27 09:27,0.0167
2025/5/27 09:28,0
2025/5/27 09:28,0.0151
2025/5/27 09:28,0.0333
2025/5/27 09:28,0.0371
2025/5/27 09:29,0.111
2025/5/27 09:29,0.1
2025/5/27 09:29,0.0833
2025/5/27 09:29,0.0756
2025/5/27 09:30,0.0151
2025/5/27 09:30,0
2025/5/27 09:30,0
2025/5/27 09:30,0.0333
2025/5/27 09:31,0.0333
2025/5/27 09:31,0.0303
2025/5/27 09:31,0.0303
2025/5/27 09:31,0.0167
2025/5/27 09:32,0.0371
2025/5/27 09:32,0.0371
2025/5/27 09:32,0.05
2025/5/27 09:32,0.0333
2025/5/27 09:33,0.0151
2025/5/27 09:33,0.0151
2025/5/27 09:33,0
2025/5/27 09:33,0
2025/5/27 09:34,0
2025/5/27 09:34,0.0667
2025/5/27 09:34,0.0605
2025/5/27 09:34,0.0605
2025/5/27 09:35,0.0667
2025/5/27 09:35,0
2025/5/27 09:35,0
2025/5/27 09:35,0.0333
2025/5/27 09:36,0.0333
2025/5/27 09:36,0.0454
2025/5/27 09:36,0.0454
2025/5/27 09:36,0.0186
2025/5/27 09:37,0.0186
2025/5/27 09:37,0.0167
2025/5/27 09:37,0.0333
2025/5/27 09:37,0.0303
2025/5/27 09:38,0.0303
2025/5/27 09:38,0.0333
2025/5/27 09:38,0.0186
2025/5/27 09:38,0.0186
2025/5/27 09:39,0.0167
2025/5/27 09:39,0
2025/5/27 09:39,0.0303
2025/5/27 09:39,0.0303
2025/5/27 09:40,0.0371
2025/5/27 09:40,0.0557
2025/5/27 09:40,0.05
2025/5/27 09:40,0.05
2025/5/27 09:41,0.0454
2025/5/27 09:41,0.0303
2025/5/27 09:41,0
2025/5/27 09:41,0
2025/5/27 09:42,0.0371
2025/5/27 09:42,0.0333
2025/5/27 09:42,0.0333
2025/5/27 09:42,0.0454
2025/5/27 09:43,0.0151
2025/5/27 09:43,0.0186
2025/5/27 09:43,0.0557
2025/5/27 09:43,0.0333
2025/5/27 09:44,0.0333
2025/5/27 09:44,0.0605
2025/5/27 09:44,0.0303
2025/5/27 09:44,0.0333
